"","texto","categoria","comentário"
"1"," E eu estou aqui, neste dia sonhado por tantas gerações de lutadores que vieram antes de nós, para reafirmar os meus compromissos mais profundos e essenciais, para reiterar a todo cidadão e cidadã do meu país o significado de cada palavra dita na campanha, para imprimir à mudança um caráter de intensidade prática, para dizer que chegou a hora de transformar o Brasil naquela Nação com a qual a gente sempre sonhou: uma Nação soberana, digna, consciente da própria importância no cenário internacional e, ao mesmo tempo, capaz de abrigar, acolher e tratar com justiça todos os seus filhos",24,"Sobre Brasil soberano"
"4"," Em meu Governo, o Brasil vai estar no centro de todas as atenções",24,"Outros"
"5"," Fazer esse mergulho não significa fechar as portas e janelas ao mundo",24,"Sem categoria"
"7"," Esta Nação, que se criou sob o céu tropical, tem que dizer a que veio: internamente, fazendo justiça à luta pela sobrevivência em que seus filhos se acham engajados; externamente, afirmando a sua presença soberana e criativa no mundo",24,"Sem categoria"
"8"," Nossa política externa refletirá também os anseios de mudança que se expressaram nas ruas",24,"Sem categoria"
"38"," Sim, temos uma mensagem a dar ao mundo: temos de colocar nosso projeto nacional democraticamente em diálogo aberto como as demais nações do planeta, porque nós somos o novo, somos a novidade de uma civilização que se desenhou sem temor, porque se desenhou no corpo, na alma e no coração do povo, muitas vezes, à revelia das elites, das instituições e até mesmo do Estado",24,"Sem categoria"
"39"," O Brasil pode dar muito a si mesmo e ao mundo",24,"Sem categoria"
