"","X","texto","categoria","comentário"
"1",1,"Nós todos sabemos que, há um bom tempo, o mundo está de olho no Brasil",24,"Sem categoria"
"4",4,"Quero falar um pouco sobre a atuação nas linhas interna e externa do Brasil",24,"Sem categoria"
"5",5," E esses princípios estão consagrados na Constituição de [19]88, senador Mauro Benevides, que nós ajudamos a redigir, não é? Eu indico, porque esses preceitos indicam caminho natural para definição das linhas da atuação interna e externa do Brasil",24,"Sem categoria"
